2026-09-01 16:13:14,459 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:15,460 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:15,460 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:16,461 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:16,461 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:17,463 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:17,463 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:18,464 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:18,464 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:19,465 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:19,465 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:20,370 | Thread-4 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 16:13:20,466 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:20,466 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
